id,lat,lon,name,operator,brand
1768343014,47.5797861,8.612637,BP,unknown,BP
1791294272,47.4289183,8.5591906,SOCAR Glattbrugg,SOCAR Energy Switzerland,SOCAR
1896270896,47.3965165,8.6116995,Minoretti,A.H. Meyer & Cie,Avia
1924177999,47.4802114,8.4847451,Avia Niederhasli,Avia Osterwalder Zürich,Avia
2030250496,47.4310576,8.5662085,Avia,Avia Osterwalder Zürich,Avia
2080030876,47.3103623,8.556814,Garage Küry GmbH,unknown,unknown
2086964148,47.3009386,8.8364358,Agrola,Agrola,Agrola
2100516385,47.6693995,8.6377475,Landgarage,Landi Marthalen,Agrola
2186282617,47.2346403,8.4277609,Agrola Dorfstrasse,unknown,Agrola
2194509641,47.4000687,8.4116786,Tamoil,unknown,Tamoil
2214821219,47.3684503,8.4967351,SOCAR Triemli,SOCAR Energy Switzerland,SOCAR
2290342093,47.5203202,8.5472046,Agrola,Agrola,Agrola
2321655387,47.61111,8.7262668,Agrola,Landi,Agrola
2463639260,47.6096267,8.5340093,Avia Wesag Auto AG,Wesag Auto AG,Avia
2463639822,47.6109984,8.5396397,Tamoil Garage Sigrist,Tamoil,Tamoil
2492760745,47.4605932,8.5254818,unknown,unknown,Kompogas
2513636432,47.3921617,8.67484,AGROLA,unknown,Agrola
